"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.339780725E1,1.426925182E0,5.603433847E-1,6.004679799E-1
1.340780525E1,1.316304922E0,4.946064949E-1,5.708594918E-1
1.341780225E1,1.116568446E0,4.177686572E-1,5.157456398E-1
1.342780025E1,9.393819571E-1,4.287675023E-1,4.755886197E-1
1.343779825E1,8.324698806E-1,4.726308584E-1,4.545265734E-1
1.344779525E1,8.418665528E-1,4.141241312E-1,4.255172908E-1
1.345779325E1,9.520160556E-1,3.174864948E-1,4.121198356E-1
1.346779125E1,1.116266489E0,1.982157826E-1,4.104614854E-1
1.347778825E1,1.284548402E0,7.925784588E-2,3.967047930E-1
1.348778625E1,1.423934460E0,-2.572715469E-2,3.245046437E-1
1.349778425E1,1.526692390E0,-1.292880476E-1,1.942909211E-1
1.350778125E1,1.547879100E0,-2.406651676E-1,-2.004054561E-2
1.351777925E1,1.475357890E0,-3.200789988E-1,-2.635340989E-1
1.352777725E1,1.352983236E0,-2.768204808E-1,-4.873115420E-1
1.353777425E1,1.197650909E0,-3.203740716E-2,-6.567993760E-1
1.354777225E1,9.795085192E-1,3.804569542E-1,-7.221344113E-1
1.355776925E1,6.768375635E-1,9.324967861E-1,-6.569358706E-1
1.356776725E1,2.437074482E-1,1.540983081E0,-5.036094189E-1
1.357776525E1,-3.468630612E-1,2.044480085E0,-3.268889785E-1
1.358776225E1,-1.064057827E0,2.038509607E0,-2.588433623E-1
1.359776025E1,-1.788632393E0,1.181020379E0,-3.121325076E-1
1.360775825E1,-2.273405552E0,-4.551911652E-1,-3.975941539E-1
1.361775525E1,-2.314597607E0,-2.152010679E0,-5.069149733E-1
1.362775325E1,-1.877983212E0,-3.088995695E0,-6.887372732E-1
1.363775125E1,-1.129476309E0,-2.956321955E0,-9.129998684E-1
1.364774825E1,-2.446674258E-1,-2.125563622E0,-1.102395415E0
1.365774625E1,5.499656796E-1,-1.099909544E0,-1.176675320E0
1.366774425E1,1.055442929E0,-3.447458614E-3,-1.102545500E0
1.367774125E1,1.270157456E0,8.315812349E-1,-8.439594507E-1
1.368773925E1,1.269463658E0,1.316206574E0,-4.644528925E-1
1.369773625E1,1.142692685E0,1.471749663E0,-1.057309508E-1
1.370773425E1,9.987366796E-1,1.373429775E0,1.149100810E-1
1.371773225E1,8.928340673E-1,1.168508172E0,1.593082249E-1
1.372772925E1,7.993339300E-1,9.063811898E-1,6.135183573E-2
1.373772725E1,6.874200106E-1,6.207808852E-1,-1.503194720E-1
1.374772525E1,5.240865350E-1,3.558091223E-1,-4.144009054E-1
1.375772225E1,2.907270491E-1,1.866648644E-1,-6.433762908E-1
1.376772142E1,-6.922754459E-3,9.715069085E-2,-7.742941380E-1
1.377771942E1,-3.189077079E-1,6.871096045E-2,-8.101413250E-1
1.378771642E1,-5.625600219E-1,1.106469557E-1,-7.807056308E-1
1.379771442E1,-6.585630774E-1,1.931763142E-1,-6.884308457E-1
1.380771242E1,-6.134808064E-1,3.005743921E-1,-5.923088193E-1
1.381770942E1,-4.807716906E-1,4.023049474E-1,-5.355595946E-1
1.382770742E1,-3.262654543E-1,4.837894440E-1,-5.041049719E-1
1.383770442E1,-1.973191202E-1,5.487741828E-1,-4.541968703E-1
1.384770242E1,-1.257450730E-1,5.635880232E-1,-4.007730484E-1
1.385770042E1,-1.013740450E-1,5.222719908E-1,-3.470771015E-1
1.386769742E1,-1.140158027E-1,4.479969144E-1,-2.856555581E-1
1.387769542E1,-1.385482252E-1,3.790161312E-1,-2.377613187E-1
1.388769342E1,-1.684794873E-1,3.256106973E-1,-2.161708027E-1
1.389769042E1,-1.948447376E-1,2.712213099E-1,-2.280181795E-1
1.390768842E1,-2.036909610E-1,2.189596891E-1,-2.670430541E-1
1.391768642E1,-2.147106677E-1,2.404035330E-1,-3.203445375E-1
1.392768342E1,-2.404298931E-1,3.429134190E-1,-3.769148886E-1
1.393768142E1,-2.792124748E-1,4.960323870E-1,-3.724110126E-1
1.394767942E1,-3.027335107E-1,6.202882528E-1,-3.124978840E-1
1.395767642E1,-2.971920669E-1,6.696926951E-1,-2.323789001E-1
1.396767442E1,-2.634303868E-1,6.835701466E-1,-1.542398781E-1
1.397767242E1,-2.205480784E-1,6.555491686E-1,-7.074323297E-2
1.398766942E1,-1.856436282E-1,5.601571202E-1,2.441950142E-2
1.399766742E1,-1.641571522E-1,4.120604098E-1,1.319063008E-1
1.400766542E1,-1.527111530E-1,2.338624448E-1,2.116820961E-1
1.401766242E1,-1.630897075E-1,1.562376134E-2,2.603262067E-1
1.402766042E1,-1.748470366E-1,-1.918479353E-1,2.740185857E-1
1.403765742E1,-1.824342459E-1,-2.957361937E-1,2.641929686E-1
1.404765542E1,-1.742487550E-1,-3.450853527E-1,2.429590225E-1
1.405765342E1,-1.490888000E-1,-3.970287442E-1,2.246654481E-1
1.406765042E1,-1.272183955E-1,-4.078685939E-1,2.266537547E-1
1.407764842E1,-1.188201979E-1,-3.644728065E-1,2.536255121E-1
1.408764642E1,-1.108301803E-1,-3.218283951E-1,2.934530973E-1
1.409764342E1,-1.020368785E-1,-3.013229668E-1,3.379028738E-1
1.410764142E1,-7.361296564E-2,-3.205017149E-1,3.758523762E-1
1.411763942E1,-4.853142425E-3,-3.116571605E-1,4.167069793E-1
1.412763642E1,7.993099093E-2,-2.846822739E-1,4.261468053E-1
1.413763442E1,1.345374882E-1,-2.735910118E-1,3.917468190E-1
1.414763242E1,1.500373483E-1,-2.351826131E-1,3.467122316E-1
1.415762942E1,1.226569116E-1,-1.798120141E-1,3.226609826E-1
1.416762742E1,5.886515230E-2,-1.831438988E-1,3.099867404E-1
1.417762442E1,-1.337218098E-3,-2.491844147E-1,3.098613620E-1
1.418762242E1,-9.351734072E-3,-3.138614297E-1,3.208026886E-1
1.419762042E1,3.907162324E-2,-3.197931647E-1,3.392272592E-1
1.420761742E1,1.309434921E-1,-2.933953702E-1,3.624758720E-1
1.421761542E1,2.355286777E-1,-2.448377311E-1,3.906829059E-1
1.422761342E1,3.423728347E-1,-2.152633220E-1,4.195609093E-1
1.423761042E1,4.136576056E-1,-1.814399809E-1,4.303102791E-1
1.424760842E1,4.371253848E-1,-1.790756285E-1,4.132322371E-1
1.425760642E1,4.282469749E-1,-2.218315899E-1,3.679061234E-1
1.426760342E1,3.967231512E-1,-2.786306739E-1,3.214906752E-1
1.427760142E1,3.536072373E-1,-3.218576014E-1,2.392586768E-1
1.428759942E1,3.387864828E-1,-2.918491066E-1,1.311766803E-1
1.429759642E1,3.478987813E-1,-2.075515389E-1,6.629958749E-3
1.430759442E1,3.454686403E-1,-1.251501292E-1,-1.197282448E-1
1.431759242E1,2.943174541E-1,-7.693770528E-2,-2.312718034E-1
1.432758942E1,2.054807693E-1,-5.954352766E-2,-3.236723244E-1
1.433758742E1,1.246752441E-1,-9.370779991E-2,-3.737509251E-1
1.434758442E1,8.146332204E-2,-1.938951313E-1,-3.833987713E-1
1.435758242E1,6.642112136E-2,-3.030218184E-1,-3.896672428E-1
1.436758042E1,9.020261467E-2,-3.279591203E-1,-3.837326467E-1
1.437757742E1,1.552322060E-1,-2.411874682E-1,-3.703094423E-1
1.438757542E1,2.528708577E-1,-1.772883832E-1,-3.810944259E-1
1.439757342E1,3.192502558E-1,-2.069345117E-1,-4.056462944E-1
1.440757042E1,3.259497285E-1,-3.100020289E-1,-4.240716398E-1
1.441756842E1,2.895547450E-1,-3.864890933E-1,-4.356234372E-1
1.442756642E1,2.159902602E-1,-4.209820926E-1,-4.365078807E-1
1.443756342E1,8.689086884E-2,-4.394620359E-1,-4.383023977E-1
1.444756142E1,-1.380847245E-1,-5.110097528E-1,-4.357529283E-1
1.445755942E1,-4.180638492E-1,-6.068439484E-1,-4.086843431E-1
1.446755642E1,-5.994580984E-1,-7.005887628E-1,-3.268898726E-1
1.447755442E1,-6.225671768E-1,-7.824814916E-1,-2.051146924E-1
1.448755242E1,-6.250828505E-1,-7.708631754E-1,-1.101623625E-1
1.449754942E1,-6.039075255E-1,-4.569258094E-1,-1.085400358E-1
1.450754742E1,-5.315390229E-1,4.214019701E-2,-1.059189998E-2
1.451754542E1,-4.466379881E-1,2.711781859E-1,2.931608558E-1
1.452754242E1,-1.794912517E-1,4.249693453E-1,4.734038711E-1
1.453754042E1,1.365482658E-1,4.207039475E-1,5.628228188E-1
1.454753842E1,4.505144358E-1,4.173859060E-1,5.318621993E-1
1.455753542E1,7.089743018E-1,3.820167780E-1,3.768005371E-1
1.456753342E1,8.762136698E-1,2.223799825E-1,1.589601040E-1
1.457753042E1,9.118583202E-1,6.637522578E-2,-2.875146456E-2
1.458752842E1,8.114891052E-1,1.637890749E-2,-6.001191214E-2
1.459752642E1,6.196437478E-1,4.492758587E-2,-2.514847741E-2
1.460752342E1,4.023665488E-1,7.612704486E-2,2.046721056E-2
1.461752142E1,1.995490789E-1,9.772159904E-2,4.894208163E-2
1.462751942E1,1.691854745E-2,1.087087393E-1,6.065679342E-2
1.463751642E1,-1.291361749E-1,1.504860818E-1,2.835428715E-2
1.464751442E1,-2.341307700E-1,1.625581831E-1,-6.297376007E-2
1.465751242E1,-3.264162242E-1,1.458133459E-1,-1.519071460E-1
1.466750942E1,-3.558931649E-1,2.017993927E-1,-2.283997834E-1
1.467750742E1,-2.718724310E-1,3.215046525E-1,-2.844718099E-1
1.468750542E1,-1.444801092E-1,4.347428083E-1,-3.347911835E-1
1.469750242E1,-3.117872030E-2,4.925893545E-1,-3.730447292E-1
1.470750042E1,5.679693818E-2,5.031991005E-1,-3.767265379E-1
1.471749842E1,9.561724216E-2,4.790145457E-1,-3.533847630E-1
1.472749542E1,7.462939620E-2,3.947372139E-1,-3.283020556E-1
1.473749342E1,1.012144238E-2,2.967023849E-1,-2.964195013E-1
1.474749142E1,-3.657948226E-2,2.075285763E-1,-2.280081958E-1
1.475748842E1,-2.230263501E-2,1.344823986E-1,-1.370137483E-1
1.476748529E1,6.881821901E-2,1.523953527E-1,-6.146545708E-2
1.477748229E1,1.809923649E-1,1.860884130E-1,-2.359006740E-2
1.478748029E1,2.333096266E-1,1.864388883E-1,-3.454018757E-2
1.479747829E1,2.112923563E-1,2.341397852E-1,-5.892311782E-2
1.480747529E1,1.922875047E-1,2.696096301E-1,-8.756728470E-2
1.481747329E1,2.062007785E-1,3.489037156E-1,-8.744168282E-2
1.482747129E1,2.259507775E-1,4.170039296E-1,-6.430467218E-2
1.483746829E1,2.428382635E-1,4.588538408E-1,-2.618115395E-3
1.484746629E1,2.603083253E-1,4.512694180E-1,1.019796655E-1
1.485746429E1,3.066579103E-1,3.550921381E-1,1.940078586E-1
1.486746129E1,3.809643686E-1,3.119124472E-1,2.267008275E-1
1.487745929E1,4.628311992E-1,4.179113805E-1,2.013812512E-1
1.488745729E1,4.971058071E-1,5.178025961E-1,1.101530716E-1
1.489745429E1,5.349838734E-1,4.740471840E-1,-1.034519635E-3
1.490745229E1,5.940740705E-1,4.687200785E-1,-9.165842831E-2
1.491745029E1,6.027558446E-1,5.239063501E-1,-1.442191303E-1
1.492744729E1,5.288779140E-1,5.835371614E-1,-1.830064654E-1
1.493744529E1,4.322963655E-1,6.045403481E-1,-2.031000108E-1
1.494744329E1,3.354872465E-1,5.822976232E-1,-1.778175533E-1
1.495744029E1,2.259885669E-1,4.341898263E-1,-1.515365839E-1
1.496743829E1,1.775752306E-1,2.793539166E-1,-1.485746205E-1
1.497743629E1,1.699304581E-1,2.507537603E-1,-1.528219283E-1
1.498743329E1,2.027115822E-1,2.913254499E-1,-1.693979800E-1
1.499743129E1,2.446791679E-1,3.723959625E-1,-2.043623328E-1
1.500742829E1,2.833682299E-1,3.909685910E-1,-2.332962453E-1
1.501742629E1,2.756422162E-1,4.036152959E-1,-2.270792574E-1
1.502742429E1,2.252134234E-1,4.329747856E-1,-1.852260828E-1
1.503742129E1,1.586447209E-1,4.832617939E-1,-1.340891570E-1
1.504741929E1,1.113317981E-1,5.913578868E-1,-1.095395908E-1
1.505741729E1,8.772241324E-2,6.534655094E-1,-8.725250512E-2
1.506741429E1,1.661996394E-1,6.471498013E-1,-8.424952626E-2
1.507741229E1,2.566839755E-1,7.447507977E-1,-9.649074823E-2
1.508741029E1,2.596193254E-1,8.594310284E-1,-1.301360577E-1
1.509740729E1,8.039984107E-2,1.051895976E0,-1.658127457E-1
1.510740529E1,-3.898028135E-1,1.074294686E0,-1.498841047E-1
1.511740329E1,-7.129202485E-1,6.901289225E-1,-1.381230503E-1
1.512740029E1,-7.847768664E-1,1.620422006E-1,-1.833360642E-1
1.513739829E1,-6.521859765E-1,-1.621095538E-1,-2.505868077E-1
1.514739629E1,-4.683327675E-1,-3.391351998E-1,-3.127364814E-1
1.515739329E1,-4.260582030E-1,-5.950866938E-1,-3.347344398E-1
1.516739129E1,-6.133159995E-1,-8.223302364E-1,-3.414821029E-1
1.517738929E1,-8.778552413E-1,-9.583448768E-1,-3.076487780E-1
1.518738629E1,-1.047188044E0,-1.082394123E0,-2.277645916E-1
1.519738429E1,-1.047935724E0,-1.061559796E0,-1.574760675E-1
1.520738229E1,-8.956141472E-1,-1.051278114E0,-9.179932624E-2
1.521737929E1,-6.534025073E-1,-9.910462499E-1,-3.299725056E-2
1.522737729E1,-4.535740912E-1,-8.498454690E-1,-9.820291772E-3
1.523737429E1,-3.621505797E-1,-7.292306423E-1,1.088907570E-2
1.524737229E1,-3.523618579E-1,-6.280645728E-1,4.330001026E-2
1.525737029E1,-4.312276840E-1,-5.922979116E-1,5.056510493E-2
1.526736729E1,-5.567486286E-1,-5.805528164E-1,3.723065555E-2
1.527736529E1,-6.882143617E-1,-6.012243032E-1,8.645100519E-3
1.528736329E1,-8.234148026E-1,-6.825167537E-1,-1.193394326E-2
1.529736029E1,-9.016182423E-1,-8.016853333E-1,-2.513388637E-3
1.530735829E1,-8.729274869E-1,-8.361316919E-1,-2.235088032E-3
1.531735629E1,-7.344338298E-1,-8.234871626E-1,-3.777778521E-2
1.532735329E1,-5.221439004E-1,-7.980350852E-1,-4.653026536E-2
1.533735129E1,-2.932127714E-1,-6.830849648E-1,2.721620258E-3
1.534734929E1,-1.074306518E-1,-5.538140535E-1,8.731799573E-2
1.535734629E1,-9.795056656E-3,-5.145496726E-1,1.802614182E-1
1.536734429E1,-1.034792885E-2,-5.359590650E-1,2.972194552E-1
1.537734229E1,-4.651044682E-2,-5.696787834E-1,4.265346527E-1
1.538733929E1,-8.150864393E-2,-6.372450590E-1,5.204529166E-1
1.539733729E1,-8.208341151E-2,-7.541404366E-1,5.491025448E-1
1.540733529E1,-3.395929188E-2,-8.345649838E-1,5.055968761E-1
1.541733229E1,-5.967968144E-3,-7.897210121E-1,4.272971451E-1
1.542733029E1,-3.590109944E-2,-6.967814565E-1,3.796111047E-1
1.543732829E1,-1.160975099E-1,-5.632367134E-1,3.612928689E-1
1.544732529E1,-1.935688555E-1,-4.058465660E-1,3.636007905E-1
1.545732329E1,-2.263459712E-1,-2.930735648E-1,3.727368712E-1
1.546732129E1,-2.100117505E-1,-2.206944674E-1,3.426428735E-1
1.547731829E1,-1.530534774E-1,-1.630202979E-1,2.909897268E-1
1.548731629E1,-5.014759675E-2,-1.468216181E-1,2.172529101E-1
1.549731429E1,8.176711202E-2,-1.099626273E-1,1.051139385E-1
1.550731129E1,1.935969740E-1,-5.685786158E-2,-2.501902543E-2
1.551730929E1,2.439841330E-1,-3.852215782E-2,-1.666829586E-1
1.552730629E1,2.158158869E-1,-1.035887823E-1,-2.661549747E-1
1.553730429E1,1.457504481E-1,-1.919260025E-1,-2.880872488E-1
1.554730229E1,9.404730797E-2,-2.738221884E-1,-2.675151229E-1
1.555729929E1,1.012723669E-1,-3.800581098E-1,-2.210504264E-1
1.556729729E1,1.732770503E-1,-4.479455650E-1,-1.876986027E-1
1.557729529E1,2.537040710E-1,-4.278703332E-1,-1.529130936E-1
1.558729229E1,2.987378538E-1,-3.839148581E-1,-1.274737865E-1
1.559729029E1,3.029296696E-1,-3.331627846E-1,-1.225061566E-1
1.560728829E1,2.837581038E-1,-2.555098236E-1,-1.468783319E-1
1.561728529E1,2.283632755E-1,-2.133482397E-1,-1.755386740E-1
1.562728329E1,1.288246959E-1,-2.320095450E-1,-1.866491139E-1
1.563728129E1,-9.991819970E-3,-2.465642691E-1,-1.647814512E-1
1.564727829E1,-1.763059646E-1,-2.220365703E-1,-1.014176533E-1
1.565727629E1,-3.444032073E-1,-1.598737538E-1,-5.770987645E-2
1.566727429E1,-4.974971414E-1,-1.526105106E-1,-4.685376585E-2
1.567727129E1,-6.363376379E-1,-1.908123940E-1,-6.626589596E-2
1.568726929E1,-6.860300899E-1,-1.949381530E-1,-1.088200137E-1
1.569726729E1,-6.459010839E-1,-1.900312901E-1,-1.124808043E-1
1.570726429E1,-5.651345849E-1,-1.903037429E-1,-2.324306779E-2
1.571726229E1,-4.856011271E-1,-2.269456387E-1,1.293565333E-1
1.572726029E1,-3.970435560E-1,-2.720175385E-1,3.171647489E-1
1.573725729E1,-2.931804955E-1,-2.607920170E-1,4.834228158E-1
1.574725529E1,-1.905971318E-1,-2.055287361E-1,6.063825488E-1
1.575725329E1,-8.428486437E-2,-1.758028120E-1,6.803550124E-1
1.576725154E1,3.187689558E-2,-1.635032743E-1,6.801094413E-1
1.577724954E1,1.227672473E-1,-1.492158920E-1,6.081893444E-1
1.578724654E1,1.386271715E-1,-1.397318393E-1,4.908464551E-1
1.579724454E1,6.555946916E-2,-1.368936449E-1,3.599416018E-1
1.580724254E1,-6.317161024E-2,-1.265640408E-1,2.222524583E-1
1.581724054E1,-2.089462429E-1,-1.168479249E-1,8.896041662E-2
1.582723754E1,-3.476402164E-1,-1.113389060E-1,-4.142661393E-2
1.583723554E1,-4.267963469E-1,-1.634879261E-1,-1.557144672E-1
1.584723254E1,-4.297250211E-1,-1.866084188E-1,-2.227491587E-1
1.585723054E1,-3.696632683E-1,-1.902785450E-1,-2.420598119E-1
1.586722854E1,-2.809400558E-1,-1.838211864E-1,-2.272172123E-1
1.587722554E1,-1.950254440E-1,-9.946887195E-2,-1.806408614E-1
1.588722354E1,-1.185788885E-1,-1.322905347E-2,-1.257698834E-1
1.589722154E1,-7.183770090E-2,3.212485835E-2,-8.088549227E-2
1.590721854E1,-7.797148824E-2,6.264255196E-2,-5.944252014E-2
1.591721654E1,-1.274650395E-1,6.667588651E-2,-4.749619216E-2
1.592721454E1,-1.865832210E-1,6.222068146E-2,-6.746111810E-2
1.593721154E1,-2.383925170E-1,7.519886643E-2,-8.863920718E-2
1.594720954E1,-2.869746685E-1,6.366471946E-2,-9.254472703E-2
1.595720754E1,-3.273718953E-1,2.500627190E-2,-7.974264771E-2
1.596720454E1,-3.509592712E-1,4.622436594E-3,-2.976549976E-2
1.597720254E1,-3.568326533E-1,-2.138882689E-2,3.367357701E-2
1.598720054E1,-3.310071826E-1,-5.890104547E-2,1.081083938E-1
1.599719754E1,-2.763846815E-1,-8.126762509E-2,1.885509640E-1
1.600719554E1,-1.927260160E-1,-6.723516434E-2,2.522985339E-1
1.601719354E1,-9.722605348E-2,-1.667088643E-2,2.966450155E-1
1.602719054E1,-1.713916659E-3,5.099497736E-2,3.081168532E-1
1.603718854E1,7.179307193E-2,1.368128359E-1,2.848446369E-1
1.604718654E1,1.005544141E-1,2.147409171E-1,2.382060289E-1
1.605718354E1,8.504524082E-2,2.669768631E-1,1.811316311E-1
1.606718154E1,3.886150196E-2,2.783086002E-1,1.227423623E-1
1.607717954E1,-7.468867116E-3,2.978323996E-1,8.681447059E-2
1.608717654E1,-4.112989083E-2,3.166524172E-1,8.143648505E-2
1.609717454E1,-5.330946669E-2,3.036195040E-1,8.065148443E-2
1.610717254E1,-5.563680455E-2,2.788723409E-1,7.945679128E-2
1.611716954E1,-3.611212596E-2,2.339548022E-1,1.067603081E-1
1.612716754E1,-1.034311205E-2,1.385808736E-1,1.525983810E-1
1.613716554E1,2.061256953E-2,2.285010368E-2,1.899621636E-1
1.614716254E1,4.455918074E-2,-6.610506773E-2,1.957441568E-1
1.615716054E1,6.260500848E-2,-1.258756220E-1,1.641320884E-1
1.616715854E1,6.479413062E-2,-1.213690192E-1,1.011986583E-1
1.617715554E1,4.321527481E-2,-8.936252445E-2,3.398305550E-2
1.618715354E1,-4.733344540E-3,-6.242464483E-2,-4.588434845E-2
1.619715154E1,-8.457592875E-2,-2.713701222E-3,-1.290509105E-1
1.620714854E1,-1.765918732E-1,6.249007210E-2,-1.844076365E-1
1.621714654E1,-2.493882030E-1,8.696121722E-2,-2.037411034E-1
1.622714454E1,-2.571758032E-1,9.446893632E-2,-2.079688758E-1
1.623714154E1,-2.060949653E-1,1.187041700E-1,-2.055210024E-1
1.624713954E1,-1.205973774E-1,8.364285529E-2,-1.813142002E-1
1.625713654E1,-4.128803685E-2,5.101408809E-2,-1.481126100E-1
1.626713454E1,2.676957846E-2,3.870735317E-2,-1.291599572E-1
1.627713254E1,9.104549140E-2,4.796374217E-2,-1.151585132E-1
1.628712954E1,1.331442147E-1,7.963218540E-2,-1.056182683E-1
1.629712754E1,1.394246519E-1,1.297041029E-1,-1.015328094E-1
1.630712554E1,1.129864007E-1,1.599975675E-1,-1.028406844E-1
1.631712254E1,7.813271135E-2,1.610511839E-1,-9.857445955E-2
1.632712054E1,4.380563274E-2,1.152754277E-1,-1.001286805E-1
1.633711854E1,4.303716123E-4,4.705763981E-2,-1.142323837E-1
1.634711554E1,-6.654253602E-2,-2.416860312E-2,-1.185997054E-1
1.635711354E1,-1.339892298E-1,-8.208958060E-2,-9.685640037E-2
1.636711154E1,-1.722133160E-1,-1.179759428E-1,-4.910352826E-2
1.637710854E1,-1.767144352E-1,-1.431692690E-1,-1.282778569E-2
1.638710654E1,-1.552578807E-1,-1.610127091E-1,2.844384871E-3
1.639710454E1,-1.081688404E-1,-1.532557011E-1,1.770079369E-3
1.640710154E1,-4.687831923E-2,-9.940712154E-2,-1.310234424E-2
1.641709954E1,-6.977838464E-3,1.590184402E-3,-2.444049530E-2
1.642709754E1,-9.785359725E-4,7.356477529E-2,-4.248554260E-2
1.643709454E1,-1.420741621E-2,1.238211766E-1,-6.407390535E-2
1.644709254E1,-4.437597096E-2,1.642711312E-1,-8.554564416E-2
1.645709054E1,-8.346842974E-2,1.580692083E-1,-1.001284942E-1
1.646708754E1,-9.388325363E-2,1.544339955E-1,-1.019085497E-1
1.647708554E1,-7.327356189E-2,1.829981506E-1,-9.794702381E-2
1.648708354E1,-3.427956253E-2,1.971209049E-1,-1.003585160E-1
1.649708054E1,1.421670616E-2,2.141751349E-1,-1.073983014E-1
1.650707854E1,5.420593172E-2,2.063891292E-1,-9.683087468E-2
1.651707654E1,9.098936617E-2,1.695888638E-1,-6.413580477E-2
1.652707354E1,1.519238204E-1,1.021232679E-1,-4.624282196E-2
1.653707154E1,2.147940397E-1,1.115785092E-1,-3.466162086E-2
1.654706954E1,2.349400669E-1,1.242394447E-1,-1.085642166E-2
1.655706654E1,2.177540064E-1,1.184050739E-1,9.942234494E-3
1.656706454E1,1.686764807E-1,1.164969131E-1,2.805525437E-4
1.657706254E1,1.089809239E-1,1.283498406E-1,-2.176589333E-2
1.658705954E1,3.442492709E-2,1.387178004E-1,-4.908992723E-2
1.659705754E1,-3.582995757E-2,1.051195413E-1,-7.341141999E-2
1.660705554E1,-6.536388397E-2,5.400788411E-2,-9.051983058E-2
1.661705254E1,-3.693944216E-2,4.694928229E-2,-1.065540016E-1
1.662705054E1,1.535625011E-2,5.178584903E-2,-1.197704673E-1
1.663704854E1,6.432507932E-2,5.559096485E-2,-1.337041408E-1
1.664704554E1,9.139211476E-2,7.972985506E-2,-1.465333849E-1
1.665704354E1,7.820468396E-2,1.068495959E-1,-1.503449678E-1
1.666704154E1,3.800106794E-2,1.108414084E-1,-1.351471096E-1
1.667703854E1,-1.407356467E-2,7.352749258E-2,-1.220235080E-1
1.668703654E1,-4.753325507E-2,2.518312819E-2,-1.143392250E-1
1.669703454E1,-5.367987603E-2,-5.044027232E-3,-9.864336252E-2
1.670703154E1,-5.170381069E-2,-1.376002096E-2,-8.373259008E-2
1.671702954E1,-5.571704358E-2,-2.875637636E-2,-7.047721744E-2
1.672702754E1,-6.890661269E-2,-4.514307156E-2,-5.642477795E-2
1.673702454E1,-7.433971018E-2,-4.204672202E-2,-4.662906006E-2
1.674702254E1,-7.618474960E-2,-4.051220790E-2,-5.115004256E-2
1.675702054E1,-7.111967355E-2,-3.464588523E-2,-7.111241668E-2
1.676701679E1,-8.212252706E-2,1.327561215E-3,-8.823520690E-2
1.677701479E1,-9.359186143E-2,1.014502440E-2,-8.443547040E-2
1.678701279E1,-9.182938188E-2,-2.060809359E-2,-7.591015846E-2
1.679700979E1,-6.903512776E-2,-9.601814300E-2,-7.632234693E-2
1.680700779E1,-4.067086428E-2,-1.190382391E-1,-8.587190509E-2
1.681700579E1,-1.514863875E-2,-7.255915552E-2,-6.753344089E-2
1.682700279E1,-4.668834619E-3,-3.545306623E-2,-4.974379018E-2
1.683700079E1,-2.842504531E-3,-3.567450121E-2,-3.360337391E-2
1.684699879E1,-1.352284569E-2,-2.863230556E-2,-3.607904539E-2
1.685699579E1,-3.482933715E-2,6.592026446E-3,-4.659052193E-2
1.686699379E1,-6.900887936E-2,3.574085981E-2,-3.879678249E-2
1.687699179E1,-8.850906044E-2,2.174930274E-2,-2.881091274E-2
1.688698879E1,-8.116538823E-2,-2.034888230E-2,-3.610904142E-2
1.689698679E1,-3.593729436E-2,-7.663894910E-3,-4.590450600E-2
1.690698479E1,7.177948952E-3,4.120936990E-2,-3.163954988E-2
1.691698179E1,3.971739486E-2,5.548008531E-2,-1.626909338E-2
1.692697979E1,4.948586971E-2,3.822306916E-2,-7.288913708E-3
1.693697779E1,6.480140239E-2,3.878445551E-2,2.116033807E-3
1.694697479E1,7.157302648E-2,6.530953944E-2,5.706507713E-3
1.695697279E1,6.438183039E-2,6.885999441E-2,8.016896434E-3
1.696697079E1,4.954908788E-2,5.565151200E-2,-1.168943010E-2
1.697696779E1,3.317183629E-2,5.620288104E-2,-3.552314639E-2
1.698696579E1,1.762030646E-2,5.960720032E-2,-5.225951597E-2
1.699696379E1,-5.406858400E-3,6.614611298E-2,-5.450633168E-2
1.700696079E1,-2.815558016E-2,6.518923491E-2,-4.501003027E-2
1.701695879E1,-3.157202899E-2,6.697683036E-2,-3.023917228E-2
1.702695679E1,-9.629179724E-3,5.867735296E-2,-2.204569057E-2
1.703695379E1,1.417538337E-2,5.083922297E-2,-1.453167200E-2
1.704695179E1,1.597754471E-2,2.276684344E-2,-7.367502432E-3
1.705694979E1,7.942314260E-3,-2.114025690E-2,-9.103799239E-3
1.706694679E1,-6.865394302E-3,-3.127784654E-2,-8.134675212E-3
1.707694479E1,-1.902444661E-2,-4.507840052E-2,-9.257558733E-3
1.708694279E1,-2.369510010E-2,-4.269114509E-2,-1.868168637E-2
1.709693979E1,-1.139952429E-2,-1.745810732E-2,-2.374495752E-2
1.710693779E1,-8.813692257E-4,3.594714217E-3,-2.593753859E-2
1.711693579E1,-9.086874314E-3,-9.619948454E-3,-2.831856348E-2
1.712693279E1,-3.108245507E-2,-2.494910359E-2,-2.046702988E-2
1.713693079E1,-5.338778347E-2,-3.900858015E-2,-1.809461601E-2
1.714692879E1,-7.193989307E-2,-5.311480910E-2,-2.779970691E-2
1.715692579E1,-8.159229904E-2,-4.854962975E-2,-3.398570418E-2
1.716692379E1,-9.805116057E-2,-5.407116190E-2,-2.798240446E-2
1.717692179E1,-9.219241142E-2,-7.272936404E-2,-1.804260537E-2
1.718691879E1,-6.036391482E-2,-5.804762244E-2,-1.363720372E-2
1.719691679E1,-2.779023349E-2,-2.363120951E-2,-1.428735256E-2
