"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
6.864500046E-2,5.235117400E1,4.915771562E0,1.864393473E0,-1.000000000E0,-1.000000000E0,9.938788907E0,9.938788907E0
6.983995438E-2,5.235117400E1,4.915771562E0,1.956106186E0,-1.000000000E0,-1.000000000E0,9.938788907E0,9.938788907E0
6.983995438E-2,5.235117400E1,4.915771562E0,2.007319212E0,-1.000000000E0,-1.000000000E0,9.938788907E0,9.938788907E0
4.364842718E0,5.235117400E1,4.915771562E0,1.729488611E0,-1.000000000E0,-1.000000000E0,9.938788907E0,9.938788907E0
4.364842718E0,5.235117400E1,4.915771562E0,1.654545784E0,-1.000000000E0,-1.000000000E0,9.938788907E0,9.938788907E0
4.842391794E0,5.235117400E1,4.915771562E0,1.740586758E0,-1.000000000E0,-1.000000000E0,9.938788907E0,9.938788907E0
6.230787819E0,5.235117400E1,4.915771562E0,1.800790787E0,-1.000000000E0,-1.000000000E0,9.938788907E0,9.938788907E0
1.227598781E1,5.235117400E1,4.915771562E0,1.884517193E0,-1.000000000E0,-1.000000000E0,9.938788907E0,9.938788907E0
1.276311380E1,5.235117400E1,4.915771562E0,1.972385406E0,-1.000000000E0,-1.000000000E0,9.938788907E0,9.938788907E0
1.407746977E1,5.235117400E1,4.915771562E0,2.047946930E0,-1.000000000E0,-1.000000000E0,9.938788907E0,9.938788907E0
2.011029476E1,5.235117400E1,4.915771562E0,2.126516700E0,-1.000000000E0,-1.000000000E0,9.938788907E0,9.938788907E0
2.059682280E1,5.235117400E1,4.915771562E0,2.122354865E0,-1.000000000E0,-1.000000000E0,9.938788907E0,9.938788907E0
2.187891275E1,5.235117400E1,4.915771562E0,2.120938540E0,-1.000000000E0,-1.000000000E0,9.938788907E0,9.938788907E0
2.801300675E1,5.235117400E1,4.915771562E0,2.119460940E0,-1.000000000E0,-1.000000000E0,9.938788907E0,9.938788907E0
2.851352174E1,5.235117400E1,4.915771562E0,2.087739229E0,-1.000000000E0,-1.000000000E0,9.938788907E0,9.938788907E0
2.979378576E1,5.235117400E1,4.915771562E0,2.067692995E0,-1.000000000E0,-1.000000000E0,9.938788907E0,9.938788907E0
3.582118673E1,5.235117400E1,4.915771562E0,2.046977520E0,-1.000000000E0,-1.000000000E0,9.938788907E0,9.938788907E0
3.631175882E1,5.235117400E1,4.915771562E0,2.062766075E0,-1.000000000E0,-1.000000000E0,9.938788907E0,9.938788907E0
3.768300874E1,5.235117400E1,4.915771562E0,2.074151516E0,-1.000000000E0,-1.000000000E0,9.938788907E0,9.938788907E0
4.387180073E1,5.235117400E1,4.915771562E0,2.085903406E0,-1.000000000E0,-1.000000000E0,9.938788907E0,9.938788907E0
4.435539073E1,5.235117400E1,4.915771562E0,2.068301201E0,-1.000000000E0,-1.000000000E0,9.938788907E0,9.938788907E0
4.561563772E1,5.235117400E1,4.915771562E0,2.057224035E0,-1.000000000E0,-1.000000000E0,9.938788907E0,9.938788907E0
4.872258932E1,5.235143085E1,4.915881853E0,5.314052428E-1,1.688120067E-1,3.429809545E2,2.500000000E1,2.500000000E1
4.972257191E1,5.235143548E1,4.915879774E0,5.314440521E-1,1.422734559E-1,3.532225772E2,2.500000000E1,2.500000000E1
5.072255403E1,5.235144679E1,4.915870856E0,5.314479330E-1,1.010386720E-1,2.579425636E0,2.500000000E1,2.500000000E1
5.172253782E1,5.235145215E1,4.915862072E0,5.314483211E-1,5.630862340E-2,-1.000000000E0,2.500000000E1,2.500000000E1
5.272252054E1,5.235145410E1,4.915851609E0,5.314483599E-1,4.552955180E-2,-1.000000000E0,2.500000000E1,2.500000000E1
5.372250373E1,5.235144867E1,4.915861291E0,5.314483638E-1,7.944066823E-2,-1.000000000E0,2.500000000E1,2.500000000E1
5.472248644E1,5.235143987E1,4.915877763E0,5.314483642E-1,-1.000000000E0,-1.000000000E0,2.500000000E1,2.500000000E1
5.572246916E1,5.235143320E1,4.915877695E0,-5.875379933E0,2.255754173E-1,-1.000000000E0,2.500000000E1,2.500000000E1
5.672245187E1,5.235143189E1,4.915878445E0,5.314483643E-1,1.398923099E-1,-1.000000000E0,2.500000000E1,2.500000000E1
5.772243470E1,5.235143139E1,4.915876589E0,5.314483643E-1,6.383835524E-2,-1.000000000E0,2.500000000E1,2.500000000E1
5.872241766E1,5.235143070E1,4.915875371E0,5.314483643E-1,5.758813396E-2,-1.000000000E0,2.500000000E1,2.500000000E1
5.972240001E1,5.235143192E1,4.915877635E0,5.314483643E-1,4.219498485E-2,-1.000000000E0,2.500000000E1,2.500000000E1
6.072238333E1,5.235143197E1,4.915877883E0,5.314483643E-1,9.621598758E-3,-1.000000000E0,2.500000000E1,2.500000000E1
6.172236556E1,5.235143403E1,4.915880527E0,5.314483643E-1,2.083889991E-1,-1.000000000E0,2.500000000E1,2.500000000E1
6.272234828E1,5.235143592E1,4.915882328E0,5.314483643E-1,-1.000000000E0,-1.000000000E0,2.500000000E1,2.500000000E1
6.372233171E1,5.235143911E1,4.915882965E0,4.827402170E-1,3.419107795E-1,-1.000000000E0,2.500000000E1,2.500000000E1
6.472131438E1,5.235144178E1,4.915882577E0,5.265775495E-1,3.993847072E-1,-1.000000000E0,2.500000000E1,2.500000000E1
6.572129709E1,5.235144480E1,4.915881291E0,5.309612828E-1,3.993847072E-1,-1.000000000E0,2.500000000E1,2.500000000E1
6.672128052E1,5.235144823E1,4.915881157E0,5.313996561E-1,4.079091847E-1,-1.000000000E0,2.500000000E1,2.500000000E1
6.772126312E1,5.235145132E1,4.915880428E0,5.314434934E-1,4.079091847E-1,-1.000000000E0,2.500000000E1,2.500000000E1
6.872124607E1,5.235145327E1,4.915878749E0,5.314478772E-1,2.554488480E-1,-1.000000000E0,2.500000000E1,2.500000000E1
6.972122878E1,5.235145715E1,4.915879955E0,5.314483155E-1,-1.000000000E0,-1.000000000E0,2.500000000E1,2.500000000E1
7.072121090E1,5.235145873E1,4.915878300E0,1.126732836E0,-1.000000000E0,-1.000000000E0,3.650012954E1,3.650012954E1
7.172119421E1,5.235145995E1,4.915879327E0,1.702927387E0,1.860420257E-1,-1.000000000E0,3.637754447E1,3.637754447E1
7.272117705E1,5.235145937E1,4.915883967E0,6.485962665E-1,2.154339552E-1,-1.000000000E0,3.650574075E1,3.650574075E1
7.372115964E1,5.235145832E1,4.915885632E0,5.431631545E-1,8.667898178E-2,-1.000000000E0,3.664693721E1,3.664693721E1
7.472114331E1,5.235145911E1,4.915888996E0,5.326198433E-1,1.221881360E-1,-1.000000000E0,3.662759001E1,3.662759001E1
7.572112543E1,5.235146197E1,4.915893226E0,5.315655122E-1,4.173272476E-2,-1.000000000E0,3.637464382E1,3.637464382E1
7.672110874E1,5.235146287E1,4.915901437E0,5.314600790E-1,2.228029370E-1,-1.000000000E0,3.591181685E1,3.591181685E1
7.772109169E1,5.235146597E1,4.915907459E0,5.314495357E-1,2.032672763E-1,-1.000000000E0,3.538112715E1,3.538112715E1
7.872107369E1,5.235146745E1,4.915910528E0,5.314484814E-1,4.059188813E-2,-1.000000000E0,3.512035441E1,3.512035441E1
7.972105712E1,5.235147091E1,4.915914484E0,5.314483760E-1,8.201766014E-2,-1.000000000E0,3.465276941E1,3.465276941E1
8.072104008E1,5.235147289E1,4.915915485E0,5.314483654E-1,8.201766014E-2,-1.000000000E0,3.444263547E1,3.444263547E1
8.172102231E1,5.235147395E1,4.915914732E0,5.314483644E-1,2.400631458E-1,-1.000000000E0,3.439401444E1,3.439401444E1
8.272100491E1,5.235147531E1,4.915913088E0,5.314483643E-1,2.012725323E-1,-1.000000000E0,3.437552863E1,3.437552863E1
8.372098870E1,5.235147860E1,4.915911019E0,5.314483643E-1,-1.000000000E0,-1.000000000E0,3.428029830E1,3.428029830E1
8.472097117E1,5.235147893E1,4.915914592E0,2.144901064E0,7.317957934E-3,-1.000000000E0,3.405393150E1,3.405393150E1
