"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.046994583E-1,2.268216813E-1,1.102124137E-1,3.378003725E-1
8.146974583E-1,1.522106248E-1,9.407526791E-2,2.410444486E-1
8.246954583E-1,-7.688211501E-3,3.459680557E-2,1.211417368E-1
8.346934583E-1,-8.408062220E-2,-2.263983428E-2,1.008872741E-1
8.446914583E-1,-5.870546043E-2,-3.889509380E-2,4.939435422E-2
8.546904583E-1,-1.249082208E-2,-1.447770596E-2,5.581401229E-2
8.646884583E-1,3.131008565E-2,1.133383352E-1,1.272009140E-1
8.746864583E-1,9.360807538E-2,2.661313426E-1,2.270544004E-1
8.846844583E-1,1.411909622E-1,3.414955205E-1,3.190527374E-1
8.946824583E-1,2.086312857E-1,3.223704475E-1,2.312161562E-1
9.046804583E-1,3.038201559E-1,2.874239784E-1,2.507052183E-1
9.146784583E-1,3.761689246E-1,4.016867584E-1,1.977610195E-1
9.246764583E-1,4.541549939E-1,4.581281769E-1,-1.929394054E-1
9.346744583E-1,2.677089214E-1,4.215292847E-1,-5.365887478E-1
9.446724583E-1,-2.680635551E-1,5.285649061E-1,-4.055824658E-1
9.546704583E-1,-4.400754833E-1,7.580739677E-1,-4.740185702E-1
9.646684583E-1,9.211703539E-3,7.793087161E-1,-5.154794222E-1
9.746664583E-1,3.397434023E-1,6.896095043E-1,-6.269554192E-1
9.846644583E-1,3.641990894E-1,4.938488173E-1,-8.991251814E-1
9.946624583E-1,6.536520517E-1,4.539474177E-1,-3.845362902E-1
1.004660458E0,1.535979352E0,9.209107375E-1,7.101022410E-1
1.014658458E0,6.267481354E-1,4.745337099E-1,-4.464173734E-2
1.024657458E0,2.869407061E-1,5.308821577E-1,-5.439021528E-2
1.034655458E0,8.877479616E-1,6.760866487E-1,7.694374466E-1
1.044653458E0,8.500951087E-1,5.784042335E-1,1.100824301E0
1.054651458E0,1.786599201E-1,3.261611974E-1,1.017853480E0
1.064649458E0,-3.147062096E-1,-1.958232522E-2,7.062775773E-1
1.074647458E0,-3.479894382E-1,-4.098085409E-1,6.979347700E-1
1.084645458E0,-3.315941378E-1,-7.644866091E-1,1.990415597E-1
1.094643458E0,-4.905550808E-1,-9.095788336E-1,-4.051617587E-1
1.104641458E0,-6.032420361E-1,-8.930101633E-1,-4.784525138E-1
1.114639458E0,-5.447090685E-1,-9.032281727E-1,-3.932024485E-1
1.124637458E0,-3.763861486E-1,-9.838273627E-1,-5.323948324E-2
1.134635458E0,-2.700033689E-1,-1.060889572E0,4.324325877E-1
1.144633833E0,-6.729735911E-2,-1.210768327E0,7.744982117E-1
1.154631833E0,5.796382883E-1,-1.094830905E0,6.975161093E-1
1.164629833E0,1.431650407E0,-1.779360348E-1,5.420813298E-1
1.174627833E0,8.424840805E-1,1.651528519E-1,6.685378933E-1
1.184625833E0,-4.010260230E-1,-4.912842286E-1,-9.520319581E-2
1.194624833E0,-1.144282269E0,-9.535346925E-1,-2.594397891E-1
1.204622833E0,-7.799244279E-1,-6.486538517E-1,-1.906864733E-1
1.214620833E0,-5.523490405E-1,-4.703126049E-1,-3.615374368E-1
1.224618833E0,-6.929064569E-1,-4.140021640E-1,-9.570055997E-1
1.234616833E0,-5.399497274E-1,-3.154257095E-1,-6.525416654E-1
1.244614833E0,-4.232594758E-2,-1.148434085E-1,5.550475305E-1
1.254612833E0,2.570389223E-1,4.425465167E-2,8.020882988E-1
1.264610833E0,1.853152210E-1,1.428936714E-1,1.452138466E-1
1.274608833E0,-1.384796083E-2,5.774125457E-3,-2.838905060E-1
1.284606833E0,-3.692692101E-2,-1.523579746E-1,-3.654924935E-1
1.294604833E0,-2.223696113E-3,-7.335156620E-2,-4.093015873E-1
1.304602833E0,2.317456216E-2,-5.992226601E-2,-4.721813750E-1
1.314600833E0,2.870868865E-1,-1.890053988E-2,-3.401810664E-1
1.324598833E0,5.780916998E-1,1.999724364E-1,-6.430767775E-3
1.334596833E0,5.864336300E-1,3.078652596E-1,3.665315437E-1
1.344594833E0,3.876329756E-1,2.149611890E-1,3.659117389E-1
1.354593833E0,3.515822598E-1,6.112386882E-2,9.475120604E-2
1.364591833E0,2.907174227E-1,3.411674917E-2,-6.329260111E-2
1.374589833E0,2.081567842E-1,-4.382722020E-2,-2.209668642E-1
1.384587833E0,1.259405467E-1,-9.550140381E-2,-3.620473140E-1
1.394585833E0,1.338141149E-1,-1.815437669E-1,-4.195961952E-1
1.404583833E0,1.194515991E-1,-3.239328235E-1,-3.873803759E-1
1.414581833E0,9.149079859E-2,-3.042189360E-1,-3.689207160E-1
1.424579833E0,1.022850510E-1,-1.739675295E-1,-3.672519207E-1
1.434577833E0,1.209288982E-1,-1.457190460E-1,-2.932802573E-1
1.444575833E0,1.399335185E-1,-3.670004904E-2,-3.882878637E-1
1.454573833E0,1.452901527E-1,2.294856727E-2,-5.427446964E-1
1.464571833E0,8.300619632E-2,4.093635678E-2,-5.684806314E-1
1.474569833E0,1.753609210E-1,1.791943556E-1,-4.969700611E-1
1.484567833E0,4.690230015E-1,2.012032753E-1,-2.127053332E-1
1.494565833E0,5.579451182E-1,1.803825098E-1,1.590688241E-1
1.504563833E0,5.611552396E-1,2.096916783E-1,2.161826724E-1
1.514562833E0,4.053377599E-1,1.405886990E-1,3.176154917E-1
1.524560833E0,1.728738078E-1,8.035243750E-3,2.808122393E-1
1.534558833E0,2.733488533E-1,1.289433843E-1,4.528346926E-2
1.544556833E0,4.869534883E-1,2.230934966E-1,1.776647240E-2
1.554554833E0,3.324756056E-1,1.730460083E-1,-2.224374390E-1
1.564552833E0,1.619582257E-1,1.745417261E-1,-1.097019517E-1
1.574550833E0,2.447586000E-2,1.506792390E-1,-9.293038309E-2
1.584548833E0,-6.377031863E-2,1.120408380E-1,-9.350516438E-2
1.594546833E0,-1.394069767E-1,-2.017289400E-4,-1.210095897E-1
1.604544833E0,-1.914007106E-1,-1.694078708E-1,-1.895316482E-1
