"Time (s)","X (hPa)"
-4.590085417E-1,1.011889877E3
5.691214583E-1,1.011895599E3
1.597423458E0,1.011901398E3
2.625809458E0,1.011902084E3
3.819967750E0,1.011979294E3
4.847240750E0,1.011981049E3
5.874749750E0,1.011979294E3
6.902391750E0,1.011970520E3
7.930138750E0,1.011952896E3
8.958053750E0,1.011952896E3
9.103792750E0,1.011955643E3
1.005575775E1,1.011961365E3
1.100769375E1,1.011971207E3
1.195972575E1,1.011989822E3
1.291175675E1,1.012004776E3
1.386386575E1,1.012010040E3
1.481596875E1,1.012010040E3
1.576809375E1,1.011998825E3
1.672038075E1,1.011981812E3
1.767284375E1,1.011966782E3
1.862532375E1,1.011958771E3
1.957790375E1,1.011952972E3
2.053055675E1,1.011952972E3
2.148319475E1,1.011958694E3
2.243575775E1,1.011959381E3
2.338839875E1,1.011960068E3
2.434102475E1,1.011960068E3
2.529381375E1,1.011960831E3
2.624655875E1,1.011960831E3
2.719929075E1,1.011963959E3
2.815206775E1,1.011966782E3
2.910487575E1,1.011971588E3
3.005763375E1,1.011977081E3
3.101026875E1,1.011978149E3
3.196304275E1,1.011979065E3
3.291596575E1,1.011982727E3
3.386894375E1,1.011989441E3
3.482188675E1,1.011996765E3
3.577493775E1,1.012005081E3
3.672802275E1,1.012010574E3
3.768115975E1,1.012010574E3
3.863424075E1,1.012003021E3
3.958726975E1,1.011992798E3
4.054041775E1,1.011983337E3
4.149364075E1,1.011976547E3
4.244685575E1,1.011976547E3
4.340002075E1,1.011978760E3
4.435317175E1,1.011984100E3
4.530634975E1,1.011991730E3
4.625946275E1,1.012005081E3
4.721263375E1,1.012016220E3
4.816577475E1,1.012016220E3
4.911889275E1,1.012015839E3
5.007194275E1,1.012013092E3
5.102513975E1,1.012001495E3
5.197836475E1,1.011990662E3
5.293164175E1,1.011990662E3
5.388479775E1,1.011991501E3
5.483798875E1,1.011993561E3
5.579126875E1,1.011993561E3
5.674454775E1,1.011992569E3
5.769794875E1,1.011990509E3
5.865127875E1,1.011987610E3
5.960462375E1,1.011984482E3
6.055797475E1,1.011981583E3
6.151163475E1,1.011980286E3
6.246528575E1,1.011978836E3
6.341888475E1,1.011977692E3
6.437240875E1,1.011975479E3
6.532593175E1,1.011974030E3
6.627943375E1,1.011973572E3
6.723291575E1,1.011973572E3
6.818644575E1,1.011973648E3
6.913992475E1,1.011976395E3
7.009348575E1,1.011978607E3
7.104704575E1,1.011980743E3
7.200068875E1,1.011984100E3
7.295428375E1,1.011986694E3
7.390772975E1,1.011988220E3
7.486122075E1,1.011990356E3
7.581475375E1,1.011990662E3
7.676821875E1,1.011990662E3
7.772173275E1,1.011990662E3
7.867523775E1,1.011992111E3
7.962877775E1,1.011994019E3
8.058235975E1,1.011996841E3
8.153590175E1,1.011998291E3
