Time (s),Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2),X (hPa),X (rad/s),Y (rad/s),Z (rad/s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°),X (µT),Y (µT),Z (µT),Distance (cm)
2023-06-10 19:38:14.500,-0.4590085417,,,,1011.889877,,,,,,,,,,,,,,
2023-06-10 19:38:14.600,,,,,,,,,,,,,,,,,,,
2023-06-10 19:38:14.700,,,,,,,,,,,,,,,,,,,
2023-06-10 19:38:14.800,,,,,,,,,,,,,,,,,,,
2023-06-10 19:38:14.900,,,,,,,,,,,,,,,,,,,
2023-06-10 19:38:15.000,0.0723449906126087,1.4376386863690909,5.415984029681819,2.407558592890909,,-0.151508614445,-0.465505547825,0.06883124496,52.35117399999999,4.915771562,1.9426062903333332,-1.0,-1.0,9.938788907,9.938788907,-15.11943531,-26.84417343,-36.000183105000005,5.0
2023-06-10 19:38:15.100,0.14920322498,1.4325130464775,4.22314472226545,2.242914434099,,-0.27981555545500003,-0.25014090985,0.0221645197819,,,,,,,,-16.171699524,-26.198700334,-36.245275879999994,
2023-06-10 19:38:15.200,0.2491832333,1.5207999802049998,4.2871374982285,2.1261401725885003,,-0.15237704852,-0.17772946284,-0.015250963415499998,,,,,,,,-16.946990966,-25.66151848,-36.665148928,
2023-06-10 19:38:15.300,0.3491635583,1.4498429949575,4.2221867728922,2.209931430811,,-0.0232609560704,-0.17403008937,-0.0180994142777,,,,,,,,-17.459868622,-25.346593092,-36.849865722000004,
2023-06-10 19:38:15.400,0.44914393329999996,1.598541080389,4.351260316208,2.2294641862835,,-0.18254913687000002,-0.24667819738,-0.180092931545,,,,,,,,-17.974553682,-25.265348433999996,-36.889733886,
2023-06-10 19:38:15.500,0.5496122387878049,1.3478029276099999,4.1567688842982005,2.0926128813900498,1011.895599,-0.22879327311500003,-0.42642007171999996,-0.23134016245,,,,,,,,-18.315858077999998,-24.975817491,-37.002087403,
2023-06-10 19:38:15.600,0.6491048583000001,1.4564459047725,4.069285562638,2.2262770590175,,-0.08401760785118,-0.35570553093,-0.036436844960499995,,,,,,,,-19.182788848,-24.399492835,-36.772216797,
2023-06-10 19:38:15.700,0.7490855332999999,1.5392734978833,4.15091818959805,2.3031267074279502,,-0.16545972674,-0.19347905518199998,-0.0231250282839,,,,,,,,-20.078878788,-24.04407673,-36.613494872000004,
2023-06-10 19:38:15.800,0.8490660833,1.46537743899095,4.246812000047,2.4311305172255,,-0.15771228597,-0.077340551467,-0.064965875823,,,,,,,,-20.362606813000003,-23.671513175999998,-36.661120603,
2023-06-10 19:38:15.900,0.9490466083,1.59849865886695,4.53681489293,2.08114883028,,-1.5871181427899999,-0.665224266804,-0.27379708886,,,,,,,,-20.755355455,-22.197518541,-37.549121093000004,
2023-06-10 19:38:16.000,1.0490273079999999,1.817391617925,3.6629748553440002,3.5719119560640005,,-1.45066023475,-0.9587760984400001,-0.31470891013,,,,,,,,-22.368493652,-15.622535514,-40.86784668,
2023-06-10 19:38:16.100,1.1490079736249998,1.7038730863295002,2.581817606065,3.3116930839174996,,0.48013079178,-0.47759084705,-0.113172231348,,,,,,,,-25.796552277,-13.097483253000002,-40.128167725000004,
2023-06-10 19:38:16.200,1.2489889079999998,1.64676989445335,3.33384844720635,2.636595725595,,0.79240569767,0.009260065050999994,1.04221230739,,,,,,,,-26.441680146,-15.609771155,-38.651824950999995,
2023-06-10 19:38:16.300,1.348969458,2.4926296748679997,3.6342008533095,2.4111883688477502,,0.86660175615,-0.031202862606999997,0.36602849513,,,,,,,,-28.902289961999998,-16.280783081000003,-36.724420166,
2023-06-10 19:38:16.400,1.4489500080000002,2.4826140815555,3.6836661927854997,1.85881893627,,0.46910040677,-0.128899429175,0.1025451163069,,,,,,,,-29.639902496,-18.27559204,-34.815979004,
2023-06-10 19:38:16.500,1.5501135555609755,2.5517739834435003,3.9536261168205002,2.0595332235595,1011.901398,0.42841830850999996,-0.1693384215209,-0.130533615868,,,,,,,,-30.176927184,-19.619533922,-33.485949706,
2023-06-10 19:38:16.600,1.648911458,2.2569846621660004,3.758317682653,1.7575092008383901,,0.17421879469999998,-0.169109088934,0.0205854263168,,,,,,,,-30.372968293999996,-20.736545182,-32.238806152,
2023-06-10 19:38:16.700,1.7488920079999999,2.4529827022900497,3.9293117568470004,1.7937901360101,,0.14197180644500002,-0.105545466402,0.07320136576700001,,,,,,,,-30.952394104,-21.136131286,-31.305053712,
2023-06-10 19:38:16.800,1.848872908,2.5350563407575004,3.920551458456,1.7320526603329998,,0.163969658327,-0.038506414004,0.0228936992112,,,,,,,,-31.287741852,-21.30424652,-30.743103028,
2023-06-10 19:38:16.900,1.9488536079999998,2.52337727301295,3.874164297909,1.5128246703457502,,0.0653559590705,-0.034095171843,0.02354813544,,,,,,,,-31.614834594,-21.773124314,-30.179199219999997,
2023-06-10 19:38:17.000,2.048834233,2.656832895155,3.9497449396772604,1.5425860479285,,0.10194967146047,-0.027099333709,-0.0105016088107,,,,,,,,-31.781275175999998,-21.862073134,-29.82697754,
2023-06-10 19:38:17.100,2.148814454875,2.586348262716,3.9803387413895,1.53305521797825,,0.07418464142299999,-0.026362680551200002,-0.02707710766686,,,,,,,,-31.730710221,-22.083262062,-29.463458252,
2023-06-10 19:38:17.200,2.248794808,2.4693926791057903,3.9217002900559996,1.5350699199644,,0.088419208681,0.0002230072380700006,-0.030649383738000004,,,,,,,,-31.716640474000002,-22.34557743,-29.307830811000002,
2023-06-10 19:38:17.300,2.348775508,2.48949691216555,3.946464067022,1.4980212890715001,,0.06929785795599999,-0.0291870486463,0.0191474018853,,,,,,,,-31.488098528000002,-22.730955696000002,-29.323114015999998,
2023-06-10 19:38:17.400,2.448756108,2.6074956390570003,4.0666075963985,1.39121351914235,,0.04855447830746,0.019933614694,-0.01262060471277,,,,,,,,-31.706219101,-22.772607611,-28.864965820000002,
2023-06-10 19:38:17.500,2.548737033,2.4538394362227,3.9062847784291,1.412908633345,,0.066581353547,-0.0069407343402,-0.014413467421099998,,,,,,,,-31.493788146999997,-23.04011097,-28.801440428,
2023-06-10 19:38:17.600,2.648158921414634,2.520680712661,4.0288888161906495,1.424976891787,1011.902084,0.050323891453300004,0.01066326196269,0.0027779326545,,,,,,,,-31.592308809000002,-23.216423035,-28.685119630000003,
2023-06-10 19:38:17.700,2.748698408,2.5699335496530002,4.0705492336125,1.3368688974867,,0.11176687107300001,0.0091289988966,-0.0089815930689,,,,,,,,-31.593149184999998,-23.313066291000002,-28.301348879,
2023-06-10 19:38:17.800,2.848679108,2.4998583537162498,4.03200821801305,1.3998663604405999,,0.090601918101,0.14497785011199998,0.055073253809,,,,,,,,-31.39844513,-23.586865234999998,-28.434875489,
2023-06-10 19:38:17.900,2.948660033,2.4761108375234997,4.029271838095751,1.2480421195602,,0.177695924411,0.022086407246000004,-7.633876410000073e-05,,,,,,,,-31.39425354,-24.083292388,-28.09338379,
2023-06-10 19:38:18.000,3.048640733,2.51618679117716,3.9962873729121497,1.240859209826,,0.126576004082,-0.0006613211741999997,0.0392370319689,,,,,,,,-31.144092558,-24.135987472,-27.680749512,
2023-06-10 19:38:18.100,3.14862147675,2.62037234809,4.02981144828715,1.2192204991675,,0.086296162709,-0.03619641401300001,-0.004254535865000001,,,,,,,,-31.253882598,-24.325351714,-27.695458984,
