"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.686727383664389E9,"2023-06-14 09:23:03.664 UTC+02:00"
"PAUSE",4.911430720875011E3,1.686732295171593E9,"2023-06-14 10:44:55.172 UTC+02:00"
"START",4.911430720875011E3,1.686732305052132E9,"2023-06-14 10:45:05.052 UTC+02:00"
"PAUSE",4.913525896708336E3,1.686732307147306E9,"2023-06-14 10:45:07.147 UTC+02:00"
