"Time (s)","X (hPa)"
1.783531133E2,1.015825424E3
1.793038283E2,1.015825424E3
1.802545063E2,1.015824966E3
1.812051663E2,1.015823975E3
1.821558623E2,1.015823975E3
1.831066023E2,1.015823669E3
1.840575113E2,1.015823669E3
1.850084113E2,1.015823669E3
1.859590853E2,1.015823593E3
1.869099093E2,1.015821228E3
1.878605853E2,1.015813446E3
1.888113213E2,1.015802689E3
1.897621883E2,1.015788269E3
1.907129563E2,1.015770264E3
1.916637503E2,1.015752716E3
1.926145183E2,1.015740128E3
1.935654013E2,1.015722122E3
1.945162613E2,1.015702896E3
1.954671803E2,1.015685730E3
1.964180733E2,1.015669022E3
1.973690023E2,1.015639725E3
1.983199393E2,1.015617218E3
1.992709523E2,1.015599823E3
2.002219713E2,1.015585785E3
2.011730253E2,1.015568390E3
2.021239823E2,1.015557480E3
2.030750003E2,1.015545654E3
2.040260123E2,1.015525665E3
2.049769863E2,1.015502014E3
2.059279073E2,1.015479813E3
2.068787743E2,1.015459290E3
2.078296673E2,1.015440598E3
2.087807303E2,1.015430908E3
2.097318243E2,1.015421753E3
2.106827873E2,1.015409546E3
2.116338053E2,1.015398712E3
2.125848543E2,1.015389862E3
2.135359283E2,1.015380096E3
2.144870383E2,1.015372467E3
2.154381713E2,1.015365829E3
2.163892063E2,1.015358047E3
2.173401043E2,1.015348282E3
2.182910793E2,1.015337753E3
2.192419423E2,1.015327301E3
2.201927153E2,1.015315628E3
2.211436043E2,1.015305710E3
2.220946413E2,1.015296478E3
2.230456273E2,1.015286484E3
2.239965003E2,1.015274506E3
2.249472893E2,1.015262222E3
2.258982113E2,1.015251389E3
2.268491663E2,1.015244141E3
2.278001503E2,1.015235825E3
2.287511533E2,1.015220337E3
2.297021253E2,1.015205765E3
2.306531783E2,1.015191879E3
2.316041863E2,1.015169144E3
2.325551753E2,1.015142822E3
2.335062313E2,1.015123062E3
2.344573873E2,1.015096893E3
2.354084733E2,1.015069733E3
2.363595143E2,1.015052643E3
2.373106703E2,1.015040207E3
2.382618423E2,1.015027847E3
2.392130933E2,1.015020218E3
2.401642003E2,1.015011826E3
2.411153033E2,1.014999619E3
2.420664153E2,1.014984207E3
2.430176773E2,1.014970474E3
2.439688383E2,1.014955063E3
2.449200583E2,1.014941559E3
2.458711603E2,1.014928513E3
2.468224573E2,1.014913025E3
2.477737383E2,1.014895477E3
2.487249933E2,1.014885712E3
2.496763233E2,1.014875107E3
2.506276853E2,1.014856262E3
2.515790973E2,1.014838257E3
2.525304953E2,1.014823532E3
2.534819093E2,1.014799576E3
2.544333603E2,1.014775772E3
2.553847903E2,1.014758453E3
2.563362593E2,1.014741974E3
2.572878093E2,1.014728546E3
2.582394113E2,1.014718170E3
2.591909473E2,1.014709091E3
2.601424903E2,1.014700775E3
2.610939593E2,1.014696274E3
2.620454303E2,1.014686584E3
2.629969363E2,1.014678955E3
2.639484163E2,1.014665527E3
2.648999433E2,1.014646149E3
2.658514823E2,1.014626999E3
2.668031443E2,1.014603882E3
2.677549343E2,1.014580002E3
2.687066643E2,1.014560699E3
2.696583073E2,1.014544601E3
