"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.252049100E1,5.235594436E1,4.957633683E0,-2.214520931E0,-1.000000000E0,-1.000000000E0,1.042055677E2,1.042055677E2
8.854346395E1,5.235598879E1,4.957795753E0,-2.182152271E0,-1.000000000E0,-1.000000000E0,1.206666667E2,1.206666667E2
9.455781293E1,5.235596032E1,4.957712947E0,-2.145696640E0,-1.000000000E0,-1.000000000E0,1.206666667E2,1.206666667E2
1.005743550E2,5.235592778E1,4.957609774E0,-2.279452801E0,-1.000000000E0,-1.000000000E0,1.206666667E2,1.206666667E2
1.066194650E2,5.235590795E1,4.957544703E0,-2.279452801E0,-1.000000000E0,-1.000000000E0,1.206666667E2,1.206666667E2
1.126369150E2,5.235590042E1,4.957518935E0,-2.279452801E0,-1.000000000E0,-1.000000000E0,1.206666667E2,1.206666667E2
1.161869460E2,5.235584829E1,4.957330207E0,-2.231437206E0,-1.000000000E0,-1.000000000E0,4.900000000E1,4.900000000E1
1.221978310E2,5.235586679E1,4.957396746E0,-2.231167316E0,-1.000000000E0,-1.000000000E0,1.206666667E2,1.206666667E2
1.252989470E2,5.235589089E1,4.957482807E0,-2.231027603E0,-1.000000000E0,-1.000000000E0,1.206666667E2,1.206666667E2
1.259552200E2,5.235589848E1,4.957509838E0,-2.230964184E0,-1.000000000E0,-1.000000000E0,1.206666667E2,1.206666667E2
1.272854050E2,5.235590349E1,4.957527729E0,-2.230923653E0,-1.000000000E0,-1.000000000E0,1.206666667E2,1.206666667E2
1.273039050E2,5.235590359E1,4.957528040E0,-2.230901241E0,-1.000000000E0,-1.000000000E0,1.206666667E2,1.206666667E2
1.273163379E2,5.235590363E1,4.957528156E0,-2.230886936E0,-1.000000000E0,-1.000000000E0,1.206666667E2,1.206666667E2
1.320341200E2,5.235581065E1,4.957238054E0,-2.210954189E0,-1.000000000E0,-1.000000000E0,9.333333333E1,9.333333333E1
1.323366710E2,5.235579116E1,4.957176081E0,-2.200766087E0,-1.000000000E0,-1.000000000E0,9.333333333E1,9.333333333E1
1.381399550E2,5.235576784E1,4.957103402E0,-2.189429760E0,-1.000000000E0,-1.000000000E0,9.333333333E1,9.333333333E1
1.422501529E2,5.235576510E1,4.957094212E0,-2.182576656E0,-1.000000000E0,-1.000000000E0,9.333333333E1,9.333333333E1
1.426195999E2,5.235576905E1,4.957106115E0,-2.179586411E0,-1.000000000E0,-1.000000000E0,9.333333333E1,9.333333333E1
1.427291670E2,5.235582159E1,4.957273095E0,-2.220742226E0,-1.000000000E0,-1.000000000E0,4.300000000E1,4.300000000E1
1.442670070E2,5.235582717E1,4.957290835E0,-2.254719734E0,-1.000000000E0,-1.000000000E0,4.300000000E1,4.300000000E1
1.487397720E2,5.235585810E1,4.957387096E0,-2.303359985E0,-1.000000000E0,-1.000000000E0,1.002436784E2,1.002436784E2
1.491977290E2,5.235579860E1,4.957180287E0,-2.395980358E0,-1.000000000E0,-1.000000000E0,4.300000000E1,4.300000000E1
1.552080129E2,5.235586884E1,4.957409521E0,-2.492916584E0,-1.000000000E0,-1.000000000E0,1.206666667E2,1.206666667E2
1.556633550E2,5.235580731E1,4.957210724E0,-2.480599403E0,-1.000000000E0,-1.000000000E0,4.300000000E1,4.300000000E1
1.616736240E2,5.235588646E1,4.957470728E0,-2.469053745E0,-1.000000000E0,-1.000000000E0,1.206666667E2,1.206666667E2
1.622277350E2,5.235589852E1,4.957510851E0,-2.464066029E0,-1.000000000E0,-1.000000000E0,1.206666667E2,1.206666667E2
1.630299690E2,5.235584064E1,4.957331469E0,-2.466006279E0,-1.000000000E0,-1.000000000E0,4.300000000E1,4.300000000E1
1.671750929E2,5.235576261E1,4.956997927E0,-2.485021114E0,-1.000000000E0,-1.000000000E0,4.500000000E1,4.500000000E1
1.691786780E2,5.235576360E1,4.956987418E0,-2.496400833E0,-1.000000000E0,-1.000000000E0,5.502833577E1,5.502833577E1
1.691931590E2,5.235578760E1,4.957080016E0,-2.502029896E0,-1.000000000E0,-1.000000000E0,5.502888992E1,5.502888992E1
1.692021869E2,5.235580751E1,4.957156859E0,-2.505402565E0,-1.000000000E0,-1.000000000E0,5.502910568E1,5.502910568E1
1.742141880E2,5.235582717E1,4.957214013E0,-2.510189533E0,-1.000000000E0,-1.000000000E0,1.083741534E2,1.083741534E2
1.746904570E2,5.235580750E1,4.957199218E0,-2.492052078E0,-1.000000000E0,-1.000000000E0,4.500000000E1,4.500000000E1
